x-axis,1,2,3
second,Volt,Volt,Volt
+8.46400E-03,+230.75014E-03,+36.02368120E+00,-21.46677E-03
+8.47800E-03,+230.51178E-03,+36.04349761E+00,-21.46677E-03
+8.49200E-03,+230.49310E-03,+36.12418371E+00,-23.97934E-03
+8.50600E-03,+230.37828E-03,+36.12791974E+00,-23.79254E-03
+8.52000E-03,+230.35960E-03,+36.17443497E+00,-21.46677E-03
+8.53400E-03,+230.61086E-03,+36.22468622E+00,-23.97934E-03
+8.54800E-03,+230.10835E-03,+36.32518874E+00,-22.96011E-03
+8.56200E-03,+230.28346E-03,+36.39726652E+00,-22.55810E-03
+8.57600E-03,+230.22174E-03,+36.42569125E+00,-23.97934E-03
+8.59000E-03,+230.10835E-03,+36.48168866E+00,-23.97934E-03
+8.60400E-03,+229.85709E-03,+36.57415098E+00,-23.97934E-03
+8.61800E-03,+230.00501E-03,+36.61636205E+00,-23.97934E-03
+8.63200E-03,+229.60583E-03,+36.62669628E+00,-22.38549E-03
+8.64600E-03,+229.98916E-03,+36.70078418E+00,-23.97934E-03
+8.66000E-03,+229.95038E-03,+36.77745005E+00,-22.25660E-03
+8.67400E-03,+229.64462E-03,+36.78520631E+00,-23.97934E-03
+8.68800E-03,+229.35600E-03,+36.87766864E+00,-23.97934E-03
+8.70200E-03,+229.77385E-03,+36.97013096E+00,-23.97934E-03
+8.71600E-03,+229.69345E-03,+37.01234203E+00,-25.67368E-03
+8.73000E-03,+229.59862E-03,+37.02870633E+00,-23.97934E-03
+8.74400E-03,+229.60583E-03,+37.07895759E+00,-24.86967E-03
+8.75800E-03,+229.40341E-03,+37.17946010E+00,-23.97934E-03
+8.77200E-03,+229.11195E-03,+37.17946010E+00,-23.97934E-03
+8.78600E-03,+229.35458E-03,+37.22971136E+00,-23.97934E-03
+8.80000E-03,+229.17509E-03,+37.26560843E+00,-25.77419E-03
+8.81400E-03,+229.10332E-03,+37.33021387E+00,-23.97934E-03
+8.82800E-03,+229.60583E-03,+37.41089970E+00,-23.97934E-03
+8.84200E-03,+229.23681E-03,+37.43071638E+00,-23.97934E-03
+8.85600E-03,+229.08464E-03,+37.53495521E+00,-23.97934E-03
+8.87000E-03,+229.31154E-03,+37.57716627E+00,-23.97934E-03
+8.88400E-03,+229.16504E-03,+37.61937734E+00,-23.97934E-03
+8.89800E-03,+228.89948E-03,+37.68197267E+00,-23.97934E-03
+8.91200E-03,+228.74293E-03,+37.73222392E+00,-25.07068E-03
+8.92600E-03,+228.85207E-03,+37.74601054E+00,-26.49190E-03
+8.94000E-03,+228.54335E-03,+37.78822161E+00,-26.49190E-03
+8.95400E-03,+228.58934E-03,+37.83272644E+00,-26.49190E-03
+8.96800E-03,+228.80040E-03,+37.92289500E+00,-25.97520E-03
+8.98200E-03,+228.34955E-03,+37.95160310E+00,-26.49190E-03
+8.99600E-03,+228.36244E-03,+37.98348021E+00,-23.97934E-03
+9.01000E-03,+228.60081E-03,+38.08398272E+00,-26.49190E-03
+9.02400E-03,+228.34955E-03,+38.13423398E+00,-24.36716E-03
+9.03800E-03,+228.35097E-03,+38.18448523E+00,-26.49190E-03
+9.05200E-03,+227.63740E-03,+38.23473649E+00,-26.49190E-03
+9.06600E-03,+227.84704E-03,+38.28498775E+00,-26.49190E-03
+9.08000E-03,+227.98349E-03,+38.36108604E+00,-25.27169E-03
+9.09400E-03,+227.93608E-03,+38.43574152E+00,-23.97934E-03
+9.10800E-03,+227.49103E-03,+38.52647737E+00,-24.46767E-03
+9.12200E-03,+227.33590E-03,+38.53624403E+00,-24.06566E-03
+9.13600E-03,+227.62735E-03,+38.63043282E+00,-23.97934E-03
+9.15000E-03,+227.52402E-03,+38.62239263E+00,-23.97934E-03
+9.16400E-03,+227.48381E-03,+38.73724906E+00,-23.97934E-03
+9.17800E-03,+227.34453E-03,+38.75706602E+00,-23.97934E-03
+9.19200E-03,+227.28564E-03,+38.79927709E+00,-23.97934E-03
+9.20600E-03,+227.11196E-03,+38.84148815E+00,-23.97934E-03
+9.22000E-03,+227.36605E-03,+38.92964687E+00,-23.97934E-03
+9.23400E-03,+226.90373E-03,+38.93825408E+00,-23.97934E-03
+9.24800E-03,+227.14069E-03,+39.03875660E+00,-23.97934E-03
+9.26200E-03,+226.84202E-03,+39.08900785E+00,-23.97934E-03
+9.27600E-03,+226.77308E-03,+39.12547222E+00,-23.97934E-03
+9.29000E-03,+226.56203E-03,+39.18951037E+00,-23.97934E-03
+9.30400E-03,+226.35097E-03,+39.19180386E+00,-23.97934E-03
+9.31800E-03,+226.53909E-03,+39.27967920E+00,-23.97934E-03
+9.33200E-03,+226.40702E-03,+39.34026414E+00,-23.97934E-03
+9.34600E-03,+226.33950E-03,+39.39051539E+00,-23.97934E-03
+9.36000E-03,+226.16723E-03,+39.44076665E+00,-25.70205E-03
+9.37400E-03,+225.83699E-03,+39.49101791E+00,-23.97934E-03
+9.38800E-03,+225.83841E-03,+39.59123705E+00,-23.97934E-03
+9.40200E-03,+225.92023E-03,+39.58319686E+00,-23.97934E-03
+9.41600E-03,+226.00063E-03,+39.64177168E+00,-23.97934E-03
+9.43000E-03,+226.08825E-03,+39.74227419E+00,-25.19953E-03
+9.44400E-03,+225.51255E-03,+39.74227419E+00,-23.97934E-03
+9.45800E-03,+225.58573E-03,+39.84277670E+00,-24.46768E-03
+9.47200E-03,+225.32584E-03,+39.89302796E+00,-23.97934E-03
+9.48600E-03,+225.30291E-03,+39.93696577E+00,-23.97934E-03
+9.50000E-03,+225.40625E-03,+39.97917684E+00,-23.97934E-03
+9.51400E-03,+224.80465E-03,+40.02138790E+00,-23.97934E-03
+9.52800E-03,+224.83197E-03,+40.06359897E+00,-23.97934E-03
+9.54200E-03,+224.75737E-03,+40.14428424E+00,-23.97934E-03
+9.55600E-03,+224.59939E-03,+40.19453550E+00,-23.97934E-03
+9.57000E-03,+224.60223E-03,+40.24048343E+00,-23.97934E-03
+9.58400E-03,+224.64243E-03,+40.29503801E+00,-23.97934E-03
+9.59800E-03,+224.18012E-03,+40.34528927E+00,-23.97934E-03
+9.61200E-03,+224.43859E-03,+40.39554053E+00,-23.97934E-03
+9.62600E-03,+224.51177E-03,+40.44579179E+00,-23.97934E-03
+9.64000E-03,+224.10693E-03,+40.49604304E+00,-23.97934E-03
+9.65400E-03,+224.07820E-03,+40.54629430E+00,-23.97934E-03
+9.66800E-03,+223.93027E-03,+40.59654556E+00,-23.97934E-03
+9.68200E-03,+224.10254E-03,+40.64679681E+00,-22.38545E-03
+9.69600E-03,+224.07820E-03,+40.67321060E+00,-22.65865E-03
+9.71000E-03,+223.90593E-03,+40.76309661E+00,-23.97934E-03
+9.72400E-03,+223.78816E-03,+40.80530767E+00,-23.97934E-03
+9.73800E-03,+223.82411E-03,+40.84780184E+00,-23.97934E-03
+9.75200E-03,+223.36604E-03,+40.93998106E+00,-23.56317E-03
+9.76600E-03,+223.24261E-03,+40.94830435E+00,-22.28495E-03
+9.78000E-03,+223.20241E-03,+40.99855561E+00,-21.46677E-03
+9.79400E-03,+223.23539E-03,+41.09905812E+00,-21.46677E-03
+9.80800E-03,+222.97550E-03,+41.14930938E+00,-23.97934E-03
+9.82200E-03,+222.83055E-03,+41.14930938E+00,-21.46677E-03
