Time;Sec;Object Name;Status;Value
9:46:42;155;TIC Gauge 1;11;14.956
9:46:42;155;TIC Gauge 2;5;9900000000
9:46:42;155;TIC Gauge 3;5;9900000000
9:46:44;157;TIC Turbo Speed;;1.6
9:46:44;157;TIC Turbo Power;;7
9:46:44;157;TIC Gauge 1;11;14.881
9:46:44;157;TIC Gauge 2;5;9900000000
9:46:44;157;TIC Gauge 3;5;9900000000
9:46:46;159;TIC Turbo Speed;;1.6
9:46:46;159;TIC Turbo Power;;6.3
9:46:46;159;TIC Gauge 1;11;14.797
9:46:46;159;TIC Gauge 2;5;9900000000
9:46:46;159;TIC Gauge 3;5;9900000000
9:46:48;161;TIC Turbo Speed;;1.6
9:46:48;161;TIC Turbo Power;;6.1
9:46:48;161;TIC Gauge 1;11;14.725
9:46:48;161;TIC Gauge 2;5;9900000000
9:46:48;161;TIC Gauge 3;5;9900000000
9:46:50;163;TIC Turbo Speed;;1.6
9:46:50;163;TIC Turbo Power;;8.2
9:46:50;163;TIC Gauge 1;11;14.641
9:46:50;163;TIC Gauge 2;5;9900000000
9:46:50;163;TIC Gauge 3;5;9900000000
9:46:52;165;TIC Turbo Speed;;1.6
9:46:52;165;TIC Turbo Power;;7
9:46:52;165;TIC Gauge 1;11;14.484
9:46:52;165;TIC Gauge 2;5;9900000000
9:46:52;165;TIC Gauge 3;5;9900000000
9:46:54;167;TIC Turbo Speed;;1.6
9:46:54;167;TIC Turbo Power;;6.5
9:46:54;167;TIC Gauge 1;11;14.462
9:46:54;167;TIC Gauge 2;5;9900000000
9:46:54;167;TIC Gauge 3;5;9900000000
9:46:56;169;TIC Gauge 1;11;14.337
9:46:56;169;TIC Turbo Speed;;1.6
9:46:56;169;TIC Turbo Power;;8.4
9:46:56;169;TIC Gauge 2;5;9900000000
9:46:56;169;TIC Gauge 3;5;9900000000
9:46:58;171;TIC Turbo Speed;;1.6
9:46:58;171;TIC Turbo Power;;6.1
9:46:58;171;TIC Gauge 1;11;14.244
9:46:58;171;TIC Gauge 2;5;9900000000
9:46:58;171;TIC Gauge 3;5;9900000000
9:47:00;173;TIC Turbo Speed;;1.6
9:47:00;173;TIC Turbo Power;;7
9:47:00;173;TIC Gauge 1;11;14.159
9:47:00;173;TIC Gauge 2;5;9900000000
9:47:00;173;TIC Gauge 3;5;9900000000
9:47:02;175;TIC Gauge 3;5;9900000000
9:47:02;175;TIC Turbo Speed;;1.6
9:47:02;175;TIC Turbo Power;;5.4
9:47:02;175;TIC Gauge 1;11;14.075
9:47:02;175;TIC Gauge 2;5;9900000000
9:47:04;177;TIC Gauge 2;5;9900000000
9:47:04;177;TIC Turbo Speed;;1.6
9:47:04;177;TIC Turbo Power;;6.3
9:47:04;177;TIC Gauge 3;5;9900000000
9:47:04;177;TIC Gauge 1;11;14.013
9:47:06;179;TIC Turbo Speed;;1.6
9:47:06;179;TIC Turbo Power;;8
