T,V1,V2,V3
-10.47400E-03,+181.40703E-03,+39.16206016E+00,-43.76306313E+00
-10.46100E-03,+181.40703E-03,+59.36306535E+00,-42.75803798E+00
-10.44800E-03,+216.58291E-03,+106.39824159E+00,-43.76306313E+00
-10.43500E-03,+181.40703E-03,+36.74999984E+00,-41.25050026E+00
-10.42200E-03,+181.40703E-03,+4.38819054E+00,-42.00426912E+00
-10.40900E-03,+141.20603E-03,+770.10006E-03,-42.00426912E+00
-10.39600E-03,+176.38191E-03,+468.59252E-03,-42.00426912E+00
-10.38300E-03,+166.33165E-03,-335.42758E-03,-41.25050026E+00
-10.37000E-03,+141.20603E-03,+368.09001E-03,-42.00426912E+00
-10.35700E-03,+141.20603E-03,-33.92004E-03,-42.00426912E+00
-10.34400E-03,+136.18090E-03,+368.09001E-03,-42.00426912E+00
-10.33100E-03,+151.25628E-03,-33.92004E-03,-42.00426912E+00
-10.31800E-03,+136.18090E-03,+468.59252E-03,-42.25552541E+00
-10.30500E-03,+101.00502E-03,+468.59252E-03,-42.00426912E+00
-10.29200E-03,+95.97990E-03,+468.59252E-03,-42.00426912E+00
-10.27900E-03,+116.08040E-03,-335.42758E-03,-43.26055056E+00
-10.26600E-03,+101.00502E-03,-938.44266E-03,-42.00426912E+00
-10.25300E-03,+85.92964E-03,+167.08498E-03,-43.26055056E+00
-10.24000E-03,+65.82914E-03,-234.92507E-03,-42.00426912E+00
-10.22700E-03,+45.72864E-03,+267.58750E-03,-42.00426912E+00
-10.21400E-03,+25.62814E-03,-234.92507E-03,-44.01431942E+00
-10.20100E-03,+45.72864E-03,-33.92004E-03,-42.75803798E+00
-10.18800E-03,+20.60301E-03,+569.09504E-03,-43.76306313E+00
-10.17500E-03,+20.60301E-03,+468.59252E-03,-44.01431942E+00
-10.16200E-03,-19.59799E-03,-234.92507E-03,-44.01431942E+00
-10.14900E-03,+5.52764E-03,+468.59252E-03,-44.01431942E+00
-10.13600E-03,-19.59799E-03,+368.09001E-03,-42.25552541E+00
-10.12300E-03,-34.67337E-03,-335.42758E-03,-43.26055056E+00
-10.11000E-03,-19.59799E-03,+468.59252E-03,-42.25552541E+00
-10.09700E-03,-44.72362E-03,+468.59252E-03,-42.75803798E+00
-10.08400E-03,-59.79900E-03,+468.59252E-03,-42.25552541E+00
-10.07100E-03,-59.79900E-03,+468.59252E-03,-44.01431942E+00
-10.05800E-03,-64.82412E-03,+468.59252E-03,-44.01431942E+00
-10.04500E-03,-100.00000E-03,+468.59252E-03,-42.75803798E+00
-10.03200E-03,-100.00000E-03,+468.59252E-03,-44.01431942E+00
-10.01900E-03,-125.12563E-03,+468.59252E-03,-43.26055056E+00
-10.00600E-03,-140.20101E-03,+1.17211012E+00,-44.01431942E+00
-9.99300E-03,-155.27638E-03,+468.59252E-03,-44.01431942E+00
-9.98000E-03,-145.22613E-03,+569.09504E-03,-44.26557571E+00
-9.96700E-03,-180.40201E-03,+971.10509E-03,-44.76808828E+00
-9.95400E-03,-145.22613E-03,+1.27261263E+00,-44.01431942E+00
-9.94100E-03,-195.47739E-03,+1.27261263E+00,-44.01431942E+00
-9.92800E-03,-220.60302E-03,+2.07663274E+00,-44.01431942E+00
-9.91500E-03,-220.60302E-03,+1.27261263E+00,-44.01431942E+00
-9.90200E-03,-260.80402E-03,+1.27261263E+00,-42.25552541E+00
-9.88900E-03,-275.87940E-03,+2.37814028E+00,-43.26055056E+00
-9.87600E-03,-260.80402E-03,+2.78015033E+00,-44.01431942E+00
-9.86300E-03,-326.13065E-03,+3.18216038E+00,-44.01431942E+00
-9.85000E-03,-301.00502E-03,+3.58417044E+00,-42.25552541E+00
-9.83700E-03,-326.13065E-03,+4.48869306E+00,-42.75803798E+00
-9.82400E-03,-341.20603E-03,+4.68969809E+00,-44.01431942E+00
-9.81100E-03,-366.33166E-03,+5.29271317E+00,-42.75803798E+00
-9.79800E-03,-381.40703E-03,+6.09673327E+00,-42.25552541E+00
-9.78500E-03,-381.40703E-03,+6.09673327E+00,-42.00426912E+00
-9.77200E-03,-386.43216E-03,+6.90075338E+00,-42.25552541E+00
-9.75900E-03,-411.55779E-03,+7.40326595E+00,-44.01431942E+00
-9.74600E-03,-421.60804E-03,+8.50879359E+00,-43.76306313E+00
-9.73300E-03,-461.80904E-03,+10.61934637E+00,-44.01431942E+00
-9.72000E-03,-461.80904E-03,+14.13693434E+00,-43.76306313E+00
-9.70700E-03,-461.80904E-03,+17.05150723E+00,-43.26055056E+00
-9.69400E-03,-502.01005E-03,+26.19723594E+00,-42.00426912E+00
-9.68100E-03,-502.01005E-03,+35.84547722E+00,-42.00426912E+00
-9.66800E-03,-507.03517E-03,+51.22236177E+00,-42.00426912E+00
-9.65500E-03,-527.13568E-03,+77.35301524E+00,-42.00426912E+00
-9.64200E-03,-577.38693E-03,+63.58417091E+00,-42.00426912E+00
-9.62900E-03,-557.28643E-03,+18.76004995E+00,-42.00426912E+00
-9.61600E-03,-582.41206E-03,+2.98115536E+00,-44.01431942E+00
-9.60300E-03,-597.48743E-03,+1.07160760E+00,-42.00426912E+00
-9.59000E-03,-617.58794E-03,+1.27261263E+00,-42.00426912E+00
-9.57700E-03,-607.53768E-03,+468.59252E-03,-42.00426912E+00
-9.56400E-03,-657.78894E-03,+468.59252E-03,-40.24547511E+00
-9.55100E-03,-637.68844E-03,+468.59252E-03,-42.00426912E+00
-9.53800E-03,-662.81407E-03,-938.44266E-03,-42.00426912E+00
-9.52500E-03,-662.81407E-03,-33.92004E-03,-40.74798769E+00
-9.51200E-03,-697.98994E-03,+468.59252E-03,-40.24547511E+00
-9.49900E-03,-718.09045E-03,-33.92004E-03,-42.00426912E+00
-9.48600E-03,-738.19095E-03,-234.92507E-03,-42.00426912E+00
-9.47300E-03,-718.09045E-03,-33.92004E-03,-42.00426912E+00
-9.46000E-03,-743.21608E-03,-234.92507E-03,-40.24547511E+00
-9.44700E-03,-768.34170E-03,+167.08499E-03,-42.00426912E+00
-9.43400E-03,-743.21608E-03,+468.59252E-03,-42.00426912E+00
-9.42100E-03,-783.41708E-03,-335.42758E-03,-42.00426912E+00
-9.40800E-03,-783.41708E-03,-234.92507E-03,-41.75301283E+00
-9.39500E-03,-783.41708E-03,-33.92004E-03,-40.74798769E+00
-9.38200E-03,-788.44221E-03,+368.09001E-03,-42.00426912E+00
-9.36900E-03,-823.61808E-03,+167.08499E-03,-41.25050026E+00
-9.35600E-03,-863.81909E-03,+569.09504E-03,-42.00426912E+00
-9.34300E-03,-863.81909E-03,+468.59252E-03,-39.99421883E+00
-9.33000E-03,-863.81909E-03,-335.42758E-03,-39.99421883E+00
-9.31700E-03,-888.94472E-03,+167.08499E-03,-40.74798769E+00
-9.30400E-03,-898.99497E-03,+368.09001E-03,-42.00426912E+00
-9.29100E-03,-904.02009E-03,+167.08499E-03,-41.25050026E+00
-9.27800E-03,-904.02009E-03,-335.42758E-03,-39.99421883E+00
-9.26500E-03,-904.02009E-03,-33.92004E-03,-39.99421883E+00
-9.25200E-03,-904.02009E-03,-335.42758E-03,-41.75301283E+00
-9.23900E-03,-944.22110E-03,-33.92004E-03,-39.99421883E+00
-9.22600E-03,-944.22110E-03,+468.59252E-03,-41.75301283E+00
-9.21300E-03,-944.22110E-03,+468.59252E-03,-41.25050026E+00
-9.20000E-03,-979.39698E-03,+468.59252E-03,-40.24547511E+00
-9.18700E-03,-984.42210E-03,+669.59755E-03,-39.99421883E+00
-9.17400E-03,-984.42210E-03,-335.42758E-03,-39.99421883E+00
