v	A
8.33272934	0.00730859
8.34465027	0.00581391
8.35657120	0.00463066
8.36849213	0.00269515
8.38041306	0.00051108
8.39233398	0.00112835
8.40425491	0.00138605
8.41617584	0.00156646
8.42809677	0.00155635
8.44001770	0.00124191
8.45193863	0.00086071
8.46385956	0.00055785
8.47578049	0.00071892
8.48770142	0.00120988
8.49962234	0.00173698
8.51154327	0.00197788
8.52346420	0.00131218
8.53538513	0.00028611
8.54730606	0.00120096
8.55922699	0.00111724
8.57114792	0.00108711
8.58306885	0.00121333
8.59498978	0.00136194
8.60691071	0.00226152
8.61883163	0.00139496
8.63075256	0.00265148
8.64267349	0.00622593
8.65459442	0.00806975
8.66651535	0.00944516
8.67843628	0.00795497
8.69035721	0.00445029
8.70227814	0.00263748
8.71419907	0.00144935
8.72612000	0.00044865
8.73804092	0.00007137
8.74996185	0.00024816
8.76188278	0.00023286
8.77380371	0.00030094
8.78572464	0.00099255
8.79764557	0.00157847
8.80956650	0.00156437
8.82148743	0.00127203
8.83340836	0.00067108
8.84532928	0.00061796
8.85725021	0.00100836
8.86917114	0.00059315
8.88109207	0.00065740
8.89301300	0.00134282
8.90493393	0.00089525
8.91685486	0.00133901
8.92877579	0.00170151
8.94069672	0.00182617
8.95261765	0.00401404
8.96453857	0.02001031
8.97645950	0.05609960
8.98838043	0.07938983
9.00030136	0.08061625
9.01222229	0.07705274
9.02414322	0.05175931
9.03606415	0.01595091
9.04798508	0.00162163
9.05990601	0.00090097
9.07182693	0.00032050
9.08374786	0.00008925
9.09566879	0.00036792
9.10758972	0.00078840
9.11951065	0.00094188
9.13143158	0.00132327
9.14335251	0.00132880
9.15527344	0.00113319
9.16719437	0.00142104
9.17911530	0.00139263
9.19103622	0.00086167
9.20295715	0.00084187
9.21487808	0.00030390
9.22679901	0.00074421
9.23871994	0.00088169
9.25064087	0.00092193
9.26256180	0.00194284
9.27448273	0.00142934
9.28640366	0.00196993
9.29832458	0.00375430
9.31024551	0.00542856
9.32216644	0.00777652
9.33408737	0.00784071
9.34600830	0.00584437
9.35792923	0.00475064
9.36985016	0.00296167
9.38177109	0.00076466
9.39369202	0.00059375
9.40561295	0.00051956
9.41753387	0.00029599
9.42945480	0.00013221
9.44137573	0.00057908
9.45329666	0.00077455
9.46521759	0.00030887
9.47713852	0.00054539
9.48905945	0.00073448
9.50098038	0.00081521
